data_id,incident_containment,incident_acres_burned,calfire_incident
Alameda-2013-07,200.0,88.0,2
Alameda-2016-06,100.0,211.0,1
Alameda-2017-08,200.0,244.0,1
Alameda-2017-09,200.0,177.0,1
Alameda-2017-10,100.0,116.0,1
Alameda-2018-05,200.0,496.0,2
Alameda-2018-06,200.0,90.0,2
Alameda-2018-07,100.0,640.0,1
Alameda-2018-08,200.0,78.0,2
Alameda-2018-11,100.0,20.0,1
Alameda-2019-06,200.0,47.0,1
Alameda-2019-08,200.0,259.0,1
Alameda-2019-09,100.0,11.0,1
Alameda-2019-10,200.0,47.0,2
Alameda-2020-07,200.0,361.0,2
Alpine-2014-09,100.0,94.0,0
Alpine-2015-06,100.0,0.0,0
Alpine-2016-08,100.0,0.0,0
Amador-2013-06,100.0,96.0,1
Amador-2015-09,100.0,70868.0,1
Amador-2016-06,200.0,582.0,2
Amador-2016-08,100.0,26.0,1
Amador-2016-09,100.0,45.0,1
Amador-2017-06,100.0,35.0,1
Amador-2017-08,100.0,10.0,1
Amador-2018-06,100.0,17.0,1
Amador-2018-07,100.0,825.0,1
Amador-2019-09,100.0,10.0,1
Amador-2020-09,100.0,48.0,1
Amador-2020-10,100.0,21.0,1
Butte-2013-06,200.0,358.0,2
Butte-2013-07,200.0,1028.0,2
Butte-2013-08,300.0,2634.0,3
Butte-2013-10,100.0,305.0,1
Butte-2014-07,100.0,72.0,1
Butte-2015-07,100.0,400.0,1
Butte-2015-09,200.0,1114.0,2
Butte-2015-10,100.0,104.0,1
Butte-2016-05,200.0,121.0,2
Butte-2016-06,300.0,241.0,3
Butte-2016-08,200.0,638.0,2
Butte-2016-09,300.0,1010.0,3
Butte-2017-02,100.0,0.0,1
Butte-2017-06,400.0,357.0,4
Butte-2017-07,600.0,6344.0,6
Butte-2017-08,100.0,4016.0,1
Butte-2017-09,300.0,183.0,3
Butte-2017-10,300.0,14718.0,3
Butte-2018-06,500.0,3373.0,5
Butte-2018-07,400.0,1207.0,4
Butte-2018-09,100.0,33.0,1
Butte-2018-10,200.0,560.0,2
Butte-2018-11,200.0,153336.0,2
Butte-2019-04,100.0,10.0,1
Butte-2019-05,100.0,50.0,1
Butte-2019-06,300.0,1574.0,1
Butte-2019-07,100.0,10.0,1
Butte-2019-09,300.0,854.0,3
Butte-2019-10,100.0,80.0,1
Butte-2020-03,100.0,154.0,1
Butte-2020-05,100.0,17.0,0
Butte-2020-06,400.0,333.0,4
