,Unnamed: 0,incident_control,incident_containment,incident_acres_burned,incident_name,calfire_incident,is_active,incident_id,incident_type,County,data_id
0,0,,100.0,37.0, Bridge Fire,False,N,2ca11d45-8139-4c16-8af0-880d99b21e82,,Shasta,Shasta-2017-10
1,1,,100.0,122.0,Pala Fire,True,N,8f61f461-552d-4538-b186-35ab030da416,Wildfire,San Diego,San Diego-2009-05
2,2,,100.0,406.0,River Fire,True,N,094719ba-a47b-4abb-9ec5-a506b2b9fd23,,Inyo,Inyo-2013-02
3,3,,100.0,30.0,Fawnskin Fire,False,N,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f,,San Bernardino,San Bernardino-2013-04
4,4,,100.0,274.0,Gold Fire,True,N,357ffc13-bef9-48eb-810f-c5de851972eb,,Madera,Madera-2013-04
5,5,,100.0,6965.0,Panther Fire,True,N,53122f0f-fefc-4dbf-b2d8-566b42ced66d,,Lassen,Lassen-2013-05
6,6,,100.0,75.0,Silverado Fire,True,N,d8d1c943-7b5d-4885-9043-f41075d6eded,,Napa,Napa-2013-04
7,7,,100.0,125.0,Yellow Fire,True,N,64e4f81e-d872-44c4-ba8d-111fa77124ba,,Sonoma,Sonoma-2013-05
8,8,,100.0,3166.0,Summit Fire,True,N,a1b14be5-a8cf-4e40-8588-96becf4c5879,,San Bernardino,San Bernardino-2013-05
9,9,,100.0,354.0,Tres Pinos Fire,True,N,ca68f3c4-4906-4952-b794-4531d7da8369,,Merced,Merced-2013-05
10,10,,100.0,217.0,306 Fire,True,N,5649e78d-7c26-4698-89a0-b0fa9a35cf78,,Glenn,Glenn-2013-05
11,11,,100.0,75.0,Lytle Fire,True,N,e2c4b308-9a2d-483b-8434-999bef9adc7c,,San Bernardino,San Bernardino-2013-05
12,12,,100.0,510.0,Gorgonio Fire,True,N,958ce6d2-97f9-4848-8620-d14ab87f329d,,Riverside,Riverside-2013-05
13,13,,100.0,4346.0,Grand Fire,True,N,e0d038e9-0926-4c05-8317-ec7075a04b12,,Ventura,Ventura-2013-05
14,14,,100.0,40.0,54 Fire,True,N,e215290f-d0b4-48fd-be32-f599959347b1,,Riverside,Riverside-2013-05
15,15,,100.0,712.0,Lake Fire,True,N,39af7eac-c188-411f-8c8a-d165c5fca4a9,,Los Angeles,Los Angeles-2013-05
16,16,,100.0,91.0,Lilly 2 Fire,True,N,2b765a08-c770-4b19-baa8-00dffe3fa838,,Madera,Madera-2013-05
17,17,,100.0,35.0,Cottontail Fire,True,N,f17c523c-bf01-4245-899b-7c2331096dae,,San Luis Obispo,San Luis Obispo-2013-05
18,18,,100.0,25.0,Cherry Fire,True,N,a60e315c-23d5-4ba4-869c-5c1e22a25e7a,,Riverside,Riverside-2013-05
19,19,,100.0,90.0,Water Fire,True,N,13850faa-5bab-4fd7-bac3-433ce9250c4d,,Riverside,Riverside-2013-05
20,20,,100.0,303.0,Shelton Fire,True,N,0b51d59b-457d-4a62-b066-55c2b8d400e2,,Stanislaus,Stanislaus-2013-05
21,21,,100.0,100.0,Border Fire,True,N,e077e091-f890-477c-b948-eb23774b432e,,San Diego,San Diego-2013-05
22,22,,100.0,2781.0,San Felipe Fire,True,N,859479e3-918c-42c6-bb74-5fdc17930a16,,San Diego,San Diego-2013-05
23,23,,100.0,50.0,Homestead Fire,True,N,5b5ce06d-7ea9-4d28-b564-715fd0d04f3f,,San Luis Obispo,San Luis Obispo-2013-05
24,24,,100.0,124.0,Smiley Fire,True,N,9795afee-7e60-4ab3-b5c3-7df67f91c5f9,,Riverside,Riverside-2013-05
25,25,,100.0,1271.0,General Fire,True,N,07a5397c-a665-4f84-9a82-5f689cb2c8f3,,San Diego,San Diego-2013-05
26,26,,100.0,1984.0,White Fire,False,N,abc61995-8bea-4be1-aa49-ee378ab3baaa,,Santa Barbara,Santa Barbara-2013-05
27,27,,100.0,149.0,Magic Fire,True,N,794412f2-1ba2-4217-ac38-49272a96fb6f,,Los Angeles,Los Angeles-2013-05
28,28,,100.0,170.0,Olive Fire,True,N,cb5f34a0-177e-445d-9349-dd94063a01d0,,Santa Barbara,Santa Barbara-2013-05
