,incident_latitude,incident_longitude,date,temperature (degC),wind_speed (m/s),total_precipitation (mm of water equivalent),relative_humidity (0-1),surface_pressure (Pa),humidex (degC),County,latitude,longitude,y,month,year
Alameda-2013-07,37.740854999999996,-121.72453,2013-07,17.22935483870968,3.2606451612903227,0.0019354838709677426,0.6945161290322579,100344.59677419356,19.274516129032254,Alameda,37.62913428212536,-122.75727832336501,True,07,2013
Alameda-2016-06,37.74369,-121.58677,2016-06,17.952,3.0770000000000004,0.0006666666666666666,0.6410000000000002,100487.05033333332,19.713333333333328,Alameda,38.55287591293699,-122.87778846618068,True,06,2016
Alameda-2017-08,37.64362,-121.73470499999999,2017-08,18.69225806451613,2.8696774193548387,0.0006451612903225806,0.7025806451612905,100283.61161290322,21.48387096774193,Alameda,38.48966578717493,-121.43202935711022,True,08,2017
Alameda-2017-09,37.7067,-121.834125,2017-09,20.217,2.253,0.004333333333333333,0.6133333333333332,100260.82866666664,22.72933333333333,Alameda,37.94514022267612,-122.77995664183283,True,09,2017
Alameda-2017-10,37.7393,-121.85663,2017-10,16.655161290322578,1.6403225806451611,0.0064516129032258064,0.5409677419354838,100559.4709677419,16.65612903225806,Alameda,36.70727782061651,-122.04449294963017,True,10,2017
Alameda-2018-05,37.74605,-121.59154,2018-05,15.178709677419356,3.515161290322581,0.005806451612903225,0.6719354838709678,100531.64193548387,16.028709677419354,Alameda,37.707915695123624,-121.19177993843005,True,05,2018
Alameda-2018-06,37.6439295,-121.7391075,2018-06,17.47666666666667,3.383,0.0,0.6346666666666666,100287.119,18.965666666666667,Alameda,36.64601173027876,-121.37831631056348,True,06,2018
Alameda-2018-07,37.75646,-121.60646,2018-07,18.059032258064512,3.2058064516129035,0.0003225806451612903,0.6825806451612904,100515.38645161293,20.33709677419355,Alameda,36.810867727163696,-121.01206446862767,True,07,2018
Alameda-2018-08,37.616143,-121.91269,2018-08,17.446129032258064,2.9693548387096773,0.0,0.710967741935484,100438.0470967742,19.77064516129032,Alameda,36.85600196317441,-121.38257696267019,True,08,2018
Alameda-2018-11,37.61158,-121.94182,2018-11,13.027999999999999,1.6953333333333336,0.12200000000000005,0.6196666666666668,100759.66466666666,12.737666666666666,Alameda,37.069068591665264,-122.00120278170593,True,11,2018
Alameda-2019-06,37.624202999999994,-121.55432350000001,2019-06,18.702,2.9149999999999987,0.0,0.616,100364.894,20.37966666666666,Alameda,38.52337843653126,-122.72570378716703,True,06,2019
Alameda-2019-08,37.7136895,-121.74944500000001,2019-08,19.64,2.8187096774193554,0.0003225806451612903,0.6945161290322581,100349.51451612906,22.937419354838706,Alameda,37.74234748642824,-121.21304144411843,True,08,2019
Alameda-2019-09,37.545167,-121.596667,2019-09,19.01266666666667,2.551333333333333,0.002,0.6436666666666665,100374.44233333334,21.354,Alameda,36.81035948259268,-121.28090862954056,True,09,2019
Alameda-2019-10,37.616910000000004,-121.76948999999999,2019-10,16.180967741935483,1.6961290322580644,0.0,0.4632258064516129,100602.96516129033,15.292258064516131,Alameda,38.50491074421079,-122.04762459543157,True,10,2019
Alameda-2020-07,37.5882275,-121.73500849999999,2020-07,17.655161290322578,3.2912903225806462,0.0,0.6799999999999999,100357.59838709676,19.716451612903224,Alameda,37.46526109431613,-122.4679830012569,True,07,2020
Alpine-2014-09,38.59,-120.028,2014-09,20.608333333333327,2.74,0.1523333333333333,0.6970000000000001,85805.90066666668,24.380333333333336,Alpine,38.927189098938584,-120.50031489156372,True,09,2014
Alpine-2015-06,38.598056,-119.751944,2015-06,23.96166666666667,2.7533333333333334,0.05600000000000002,0.5503333333333332,85686.63166666665,27.430999999999994,Alpine,38.5707087509696,-120.34342403372361,False,06,2015
Alpine-2016-08,38.57554,-120.00606,2016-08,23.491290322580646,2.459354838709677,0.20935483870967744,0.6277419354838709,85845.76451612903,27.758709677419358,Alpine,38.40597488095624,-119.5472469829489,False,08,2016
Amador-2013-06,38.27783,-120.966016,2013-06,18.565,4.757999999999999,0.010000000000000002,0.6936666666666667,100982.21699999996,21.138666666666676,Amador,37.685887200206665,-119.72732845709267,True,06,2013
Amador-2015-09,38.32974,-120.70418,2015-09,18.95033333333333,4.244666666666668,0.013000000000000001,0.7366666666666667,100852.29466666668,22.38266666666667,Amador,38.16465496209757,-121.13727831188969,True,09,2015
Amador-2016-06,38.32687,-120.9531305,2016-06,19.19433333333333,5.269000000000001,0.0056666666666666645,0.747,100982.84300000002,22.90566666666667,Amador,38.55600134968572,-120.55247743895322,True,06,2016
Amador-2016-08,38.2581,-120.8657,2016-08,21.754193548387093,4.839677419354839,0.0009677419354838713,0.6825806451612902,100944.7070967742,26.003548387096767,Amador,37.7449470578,-121.40338535804462,True,08,2016
Amador-2016-09,38.5212,-120.8416,2016-09,20.416333333333334,4.455666666666667,0.023000000000000003,0.7090000000000001,101050.80900000002,24.32266666666667,Amador,38.725235330849245,-119.8173179039371,True,09,2016
Amador-2017-06,38.45822,-120.92162,2017-06,20.273666666666667,5.212999999999998,0.0033333333333333327,0.7083333333333334,100909.10233333336,24.12933333333333,Amador,38.63744409819684,-120.67592284412703,True,06,2017
Amador-2017-08,38.34421,-120.72274,2017-08,20.564516129032267,5.3738709677419365,0.0035483870967741938,0.7245161290322579,100916.29064516132,24.796451612903226,Amador,38.16548383841133,-120.2051193408407,True,08,2017
Amador-2018-06,38.265645,-120.892404,2018-06,18.29,4.370333333333335,0.02533333333333334,0.7963333333333332,100849.93366666668,22.06866666666666,Amador,37.73471136731858,-119.93219369067951,True,06,2018
Amador-2018-07,38.42623,-120.95408,2018-07,19.768387096774195,4.832903225806452,0.0061290322580645155,0.8016129032258065,100985.88064516128,24.5383870967742,Amador,38.5526956489125,-119.81191616847502,True,07,2018
Amador-2019-09,38.332083,-120.67131,2019-09,20.164000000000005,3.5826666666666664,0.017333333333333333,0.7203333333333334,100995.30266666668,23.97100000000001,Amador,37.76801506593627,-120.18079934821333,True,09,2019
