,month,year,County,size
0,1,2014,Fresno,1
1,1,2014,Humboldt,1
2,1,2014,Lassen,1
3,1,2014,Los Angeles,1
4,1,2019,Humboldt,1
5,1,2021,Kern,1
6,1,2021,Madera,1
7,1,2021,Riverside,2
8,1,2021,Santa Cruz,4
9,1,2021,Ventura,1
10,2,2013,Inyo,1
11,2,2015,Siskiyou,1
12,2,2017,Butte,1
13,2,2018,Inyo,1
14,2,2018,Monterey,1
15,2,2020,Humboldt,1
16,2,2020,Lassen,1
17,2,2020,Mendocino,1
18,2,2020,Sierra,1
19,2,2020,Tehama,1
20,3,2014,Monterey,1
21,3,2014,Riverside,1
22,3,2014,San Diego,1
23,3,2018,Santa Barbara,1
24,3,2018,Shasta,1
25,3,2020,Butte,1
26,3,2020,Riverside,2
27,3,2020,Yuba,1
28,4,2013,Madera,1
29,4,2013,Napa,1
30,4,2013,San Bernardino,1
31,4,2014,Inyo,1
32,4,2014,Monterey,1
33,4,2014,San Bernardino,1
34,4,2015,Plumas,1
35,4,2015,Riverside,1
36,4,2016,Lake,1
37,4,2016,Merced,1
38,4,2017,Fresno,3
39,4,2017,Lassen,1
40,4,2017,Monterey,1
41,4,2017,Riverside,3
42,4,2017,San Bernardino,1
43,4,2017,Shasta,1
44,4,2018,Humboldt,1
45,4,2018,Inyo,1
46,4,2018,Kings,1
47,4,2018,Lake,1
48,4,2018,Plumas,1
49,4,2018,Riverside,3
50,4,2019,Butte,1
51,4,2019,Glenn,1
52,4,2019,Kings,1
53,4,2020,Contra Costa,1
54,4,2020,Imperial,1
55,4,2020,Tehama,1
56,4,2020,Trinity,1
57,5,2009,San Diego,1
58,5,2013,Glenn,1
59,5,2013,Lassen,1
60,5,2013,Los Angeles,3
61,5,2013,Madera,1
62,5,2013,Merced,1
63,5,2013,Riverside,5
64,5,2013,San Bernardino,2
65,5,2013,San Diego,3
66,5,2013,San Luis Obispo,2
67,5,2013,Santa Barbara,2
68,5,2013,Sonoma,1
69,5,2013,Stanislaus,1
70,5,2013,Ventura,1
71,5,2014,Lake,1
72,5,2014,Marin,2
73,5,2014,San Diego,5
74,5,2014,Santa Barbara,1
75,5,2014,Shasta,1
76,5,2015,Merced,1
77,5,2016,Butte,2
78,5,2016,Fresno,2
79,5,2016,Lake,1
80,5,2016,Monterey,2
81,5,2016,Placer,1
82,5,2016,San Diego,1
83,5,2016,San Luis Obispo,1
84,5,2016,Tuolumne,1
85,5,2017,Calaveras,1
86,5,2017,Fresno,5
87,5,2017,Kern,6
88,5,2017,Kings,1
89,5,2017,Lake,1
90,5,2017,Madera,1
91,5,2017,Marin,2
92,5,2017,Merced,1
93,5,2017,Monterey,3
94,5,2017,Riverside,6
95,5,2017,San Benito,1
96,5,2017,San Bernardino,1
97,5,2017,San Diego,2
98,5,2017,San Luis Obispo,5
99,5,2017,Santa Barbara,1
100,5,2017,Tulare,1
101,5,2017,Yuba,1
102,5,2018,Alameda,2
103,5,2018,Fresno,2
104,5,2018,Glenn,1
105,5,2018,Madera,1
106,5,2018,Marin,2
107,5,2018,Merced,1
108,5,2018,Napa,1
109,5,2018,Riverside,4
110,5,2018,San Diego,2
111,5,2018,San Luis Obispo,2
112,5,2018,Santa Barbara,1
113,5,2018,Santa Clara,1
114,5,2018,Siskiyou,2
115,5,2018,Stanislaus,1
116,5,2018,Tehama,1
117,5,2018,Tulare,1
118,5,2019,Butte,1
119,5,2019,Fresno,1
120,5,2019,Kern,2
121,5,2019,Placer,1
122,5,2019,Riverside,4
123,5,2019,San Diego,1
124,5,2019,San Luis Obispo,1
125,5,2019,Stanislaus,1
126,5,2019,Tehama,1
127,5,2020,Butte,1
128,5,2020,Contra Costa,1
129,5,2020,Fresno,1
130,5,2020,Madera,1
131,5,2020,Napa,1
132,5,2020,Riverside,2
133,5,2020,San Luis Obispo,1
134,5,2020,Santa Barbara,2
135,6,2013,Amador,1
136,6,2013,Butte,2
137,6,2013,Contra Costa,1
138,6,2013,Fresno,4
139,6,2013,Lake,3
140,6,2013,Madera,1
141,6,2013,Mariposa,1
142,6,2013,Merced,1
143,6,2013,Monterey,1
144,6,2013,Placer,1
145,6,2013,Riverside,3
146,6,2013,San Bernardino,1
147,6,2013,San Luis Obispo,1
148,6,2013,Solano,2
149,6,2013,Tuolumne,1
150,6,2014,Calaveras,2
151,6,2014,Fresno,2
152,6,2014,Kern,1
153,6,2014,Mariposa,1
154,6,2014,Solano,1
155,6,2014,Tehama,1
156,6,2014,Tuolumne,2
157,6,2015,Alpine,1
158,6,2015,Contra Costa,1
159,6,2015,Humboldt,1
160,6,2015,Lassen,1
161,6,2015,Los Angeles,1
162,6,2015,Madera,2
163,6,2015,Mendocino,1
164,6,2015,Napa,2
165,6,2015,Nevada,1
166,6,2015,San Bernardino,2
167,6,2015,San Diego,2
168,6,2015,San Joaquin,1
169,6,2015,San Luis Obispo,1
170,6,2015,Tehama,1
171,6,2015,Trinity,1
172,6,2016,Alameda,1
173,6,2016,Amador,2
174,6,2016,Butte,3
175,6,2016,Calaveras,1
176,6,2016,Colusa,1
177,6,2016,El Dorado,1
178,6,2016,Kern,1
179,6,2016,Lake,1
180,6,2016,Merced,1
181,6,2016,Mono,1
182,6,2016,Monterey,3
183,6,2016,Orange,1
184,6,2016,Placer,2
185,6,2016,Riverside,1
186,6,2016,Sacramento,1
187,6,2016,San Benito,2
188,6,2016,San Diego,1
189,6,2016,San Luis Obispo,2
190,6,2016,Santa Barbara,1
191,6,2016,Santa Clara,1
192,6,2016,Shasta,1
193,6,2016,Siskiyou,1
194,6,2016,Tehama,2
195,6,2016,Tulare,1
196,6,2016,Ventura,1
197,6,2016,Yolo,1
198,6,2017,Amador,1
199,6,2017,Butte,4
200,6,2017,Contra Costa,1
201,6,2017,Del Norte,1
202,6,2017,Fresno,4
203,6,2017,Imperial,1
204,6,2017,Kern,7
205,6,2017,Lake,1
206,6,2017,Lassen,2
207,6,2017,Los Angeles,5
208,6,2017,Madera,3
209,6,2017,Marin,2
210,6,2017,Mariposa,2
211,6,2017,Modoc,2
212,6,2017,Monterey,5
213,6,2017,Napa,1
214,6,2017,Riverside,11
215,6,2017,Sacramento,1
216,6,2017,San Bernardino,2
217,6,2017,San Diego,3
218,6,2017,San Luis Obispo,2
219,6,2017,Santa Clara,2
220,6,2017,Shasta,1
221,6,2017,Sierra,1
222,6,2017,Siskiyou,3
223,6,2017,Solano,1
224,6,2017,Stanislaus,1
225,6,2017,Tehama,3
226,6,2017,Tulare,2
227,6,2017,Tuolumne,1
228,6,2018,Alameda,2
229,6,2018,Amador,1
230,6,2018,Butte,5
231,6,2018,Calaveras,1
232,6,2018,Contra Costa,4
233,6,2018,Fresno,2
234,6,2018,Glenn,2
235,6,2018,Kern,1
236,6,2018,Lake,2
237,6,2018,Lassen,2
238,6,2018,Los Angeles,2
239,6,2018,Madera,3
240,6,2018,Marin,2
241,6,2018,Mariposa,2
242,6,2018,Merced,4
243,6,2018,Monterey,2
244,6,2018,Nevada,1
245,6,2018,Orange,2
246,6,2018,Riverside,4
247,6,2018,Sacramento,1
248,6,2018,San Benito,5
